COD	CLASSE	AN	A1	A2	A3	A4	B1	B2	B3	B4
C133	A	7	7,7	7	7,5	5,8	0	0	0	0
C134	A	8	6,2	9,6	9	7,4	0	0	0	0
C135	A	5,2	4,6	4,3	8	7,6	0	0	0	0
C136	A	5	3,9	6,5	7,2	6,5	0	0	0	0
C137	RN	3,5	4	4,5	6	6	0	0	0	0
C138	RN	3,6	5,7	2,7	8,8	6,8	0	0	0	0
C139	A	5	3,4	5	7,6	7	0	0	0	0
C140	A	8,1	8,3	8,3	7,5	8,5	0	0	0	0
C141	RF	0					0	0	0	0
C006	A	8,2	7,5	8,3	9	8,1	0	0	0	0
C142	A	5,5					0	0	0	0
C143	A	5,1	5	1,5	8	6,3	12	6	14	2
C137	A	7,7	8,3	7,5	7,5	7,5	2	0	0	0
C138	A	7,9	8,2	7,7	8,8	7	8	4	16	2
C144	A	8,1	4,7	7,8	10	10	0	4	2	4
C145	A	7,6	7,2	8,5	6,2	8,7	2	2	7	0
C146	A	7	7	7	6,5	7,5	1	6	8	0
C147	A	9,2	9,5	8,5	10	9	0	0	2	0
C148	A	7,3	6,2	7	7	9	0	0	2	0
C149	A	8	7	9	7	9	0	0	4	0
C150	A	7	6,3	7,5	5,5	8,8	2	0	4	0
C151	A	8,6	9,4	9	7	9	8	14	0	0
C046	A	8,2				8,2	0	0	2	0
C141	A	0					0	0	0	0
C152	A	8,7	7,5	10			4	0	0	0
C001	RF	1,3					0	0	0	0
C153	RF	3,1					0	0	0	0
C154	RF	1,6					0	0	0	0
C155	RF	3,6					0	0	0	0
C156	RN	3,6					0	0	0	0
C002	RN	4,1					0	0	0	0
C001	RF	3,4					0	0	0	0
C153	A	5,55					0	0	0	0
C154	RF	2,2					0	0	0	0
C155	A	5,6					0	0	0	0
C156	A	5					0	0	0	0
C002	A	6,3					0	0	0	0
C001	RN	4,4	4	7,8	3	5,4	0	0	0	0
C157	A	5,5	3,1	6	5,8	4,6	0	0	0	0
C158	RN	2,3	5,1	6,6	3,2	3	0	0	0	0
C159	RN	2,2	1,5	2,5	2	1,8	0	0	0	0
C003	A	5	3	2	6,8	7,9	0	0	0	0
C160	RF	0,5	1	0	0	0	0	0	0	0
C001	A	5	7	9	5,6	4	0	0	0	0
C154	A	7,4	6,9	8,2	5,9	7,4	0	0	0	0
C158	RN	2,6	4,7	6	4	3,3	0	0	0	0
C159	A	5	1,5	2,5	2	1,8	0	0	0	0
C160	RF	1,3	1	0	0	0	0	0	0	0
C161	RF	0					0	0	0	0
C004	T	 	1,2	1,2	2,8	4,8	0	0	0	0
C006	T	 	2,5	2,1	1,5	0	0	0	0	0
C007	T	 	0,3	0,1	0,3	0	0	0	0	0
C012	T	 	2,3	3,6	4,8	3,2	0	0	0	0
C053	T	 	3,1	8,6	2,5	5	0	0	0	0
C054	RN	4,7	3,5	5,6			0	0	0	0
C055	A	6,1	3,5	8			0	0	0	0
C042	T	 					0	0	0	0
C056	T	 	9,5	8,5			0	0	0	0
C004	T	 	1,2	1,2	2,8	4,8	0	0	0	0
C004	RN	3,2	1,2	1,2	2,8	4,8	2	0	0	4
C006	RN	3,1	2,5	2,1	1,5	0	0	0	0	2
C007	RN	1,8	0,3	0,1	0,3	0	2	8	0	4
C012	RN	3,7	2,3	3,6	4,8	3,2	2	0	0	4
C053	A	5	3,1	8,6	2,5	5	4	2	2	4
C060	A	 					0	0	0	0
C042	A	5,4	9,3	3,6			4	4	0	0
C056	A	9	9,5	8,5			0	2	0	0
C057	RF	0,2	1,1	0			22	30	40	16
C052	RN	1,4	1,6	2,6	0,8	0,9	4	0	8	0
C058	RF	2,5	2,6	3,8	3,9	0	8	14	19	36
C044	RN	2,4	3,1	5,7	0,8	0	2	0	0	0
C037	RN	2,7	7	6	1,5	7,1	0	0	0	0
C059	A	7,7	5,5	7,7	7,7	10	0	0	4	0
C043	RN	2,2	6,4	4,52	1,5	5,67	0	0	0	0
C013	RN	0,2	0	1	0	0	0	2	6	2
C014	RF	0,5	2,2	0	0	0	4	4	22	18
C015	RF	3,7	8,5	6,5	0	0	0	0	16	8
C016	RF	1,1	4	0,5	0	0	14	4	16	6
C017	RN	0,6	2,5	0	0	0	0	0	0	0
C018	RN	0,2	0	0,8	0	0	0	0	2	0
C019	RF	0,3	1,4	0	0	0	20	23	29	36
C013	T	 	0				0	0	0	0
C061	T	 	1	0			0	6	0	0
C062	T	 					0	0	0	0
C106	T	 	0				0	12	0	0
C063	T	 	0	0			9	18	0	0
C064	T	 	0				8	18	0	0
C066	T	 	0	0			2	8	0	0
C162	A	5	5,6	5,2	3,4	10	0	0	0	0
C163	A	5,1	7	7,5	6	5,5	0	0	0	0
C158	A	7,3	8	7,6	6	7,7	0	0	0	0
C164	A	7	5,5	7,6	5,4	9,5	0	0	0	0
C165	A	7,1	5,7	6,5	7	9,2	0	0	0	0
C166	RN	3,4	6,1	5,4	5,2	5,8	0	0	0	0
C167	A	7,4	8	7,5	7,8	6,5	0	0	0	0
C168	RN	4,3	6	4	7,3	1,5	0	0	0	0
C160	RN	4,3	6	5,8	6,3	3	0	0	0	0
C166	A	5	6,7	6	6,8	6,1	0	0	0	0
C168	A	6,1	6	4	7,3	1,5	0	0	0	0
C169	A	7,5	7,6	6,5	7	9	0	0	0	0
C170	RN	3,9	5,7	6,5	5,4	3,5	0	0	0	0
